Series ID,Year,Period,Label,Value,1-Month % Change
CUUR0000SA0,1994,M01,1994 Jan,146.2,0.3
CUUR0000SA0,1994,M02,1994 Feb,146.7,0.3
CUUR0000SA0,1994,M03,1994 Mar,147.2,0.3
CUUR0000SA0,1994,M04,1994 Apr,147.4,0.1
CUUR0000SA0,1994,M05,1994 May,147.5,0.1
CUUR0000SA0,1994,M06,1994 Jun,148.0,0.3
CUUR0000SA0,1994,M07,1994 Jul,148.4,0.3
CUUR0000SA0,1994,M08,1994 Aug,149.0,0.4
CUUR0000SA0,1994,M09,1994 Sep,149.4,0.3
CUUR0000SA0,1994,M10,1994 Oct,149.5,0.1
CUUR0000SA0,1994,M11,1994 Nov,149.7,0.1
CUUR0000SA0,1994,M12,1994 Dec,149.7,0.0
CUUR0000SA0,1995,M01,1995 Jan,150.3,0.4
CUUR0000SA0,1995,M02,1995 Feb,150.9,0.4
CUUR0000SA0,1995,M03,1995 Mar,151.4,0.3
CUUR0000SA0,1995,M04,1995 Apr,151.9,0.3
CUUR0000SA0,1995,M05,1995 May,152.2,0.2
CUUR0000SA0,1995,M06,1995 Jun,152.5,0.2
CUUR0000SA0,1995,M07,1995 Jul,152.5,0.0
CUUR0000SA0,1995,M08,1995 Aug,152.9,0.3
CUUR0000SA0,1995,M09,1995 Sep,153.2,0.2
CUUR0000SA0,1995,M10,1995 Oct,153.7,0.3
CUUR0000SA0,1995,M11,1995 Nov,153.6,-0.1
CUUR0000SA0,1995,M12,1995 Dec,153.5,-0.1
CUUR0000SA0,1996,M01,1996 Jan,154.4,0.6
CUUR0000SA0,1996,M02,1996 Feb,154.9,0.3
CUUR0000SA0,1996,M03,1996 Mar,155.7,0.5
CUUR0000SA0,1996,M04,1996 Apr,156.3,0.4
CUUR0000SA0,1996,M05,1996 May,156.6,0.2
CUUR0000SA0,1996,M06,1996 Jun,156.7,0.1
CUUR0000SA0,1996,M07,1996 Jul,157.0,0.2
CUUR0000SA0,1996,M08,1996 Aug,157.3,0.2
CUUR0000SA0,1996,M09,1996 Sep,157.8,0.3
CUUR0000SA0,1996,M10,1996 Oct,158.3,0.3
CUUR0000SA0,1996,M11,1996 Nov,158.6,0.2
CUUR0000SA0,1996,M12,1996 Dec,158.6,0.0
CUUR0000SA0,1997,M01,1997 Jan,159.1,0.3
CUUR0000SA0,1997,M02,1997 Feb,159.6,0.3
CUUR0000SA0,1997,M03,1997 Mar,160.0,0.3
CUUR0000SA0,1997,M04,1997 Apr,160.2,0.1
CUUR0000SA0,1997,M05,1997 May,160.1,-0.1
CUUR0000SA0,1997,M06,1997 Jun,160.3,0.1
CUUR0000SA0,1997,M07,1997 Jul,160.5,0.1
CUUR0000SA0,1997,M08,1997 Aug,160.8,0.2
CUUR0000SA0,1997,M09,1997 Sep,161.2,0.2
CUUR0000SA0,1997,M10,1997 Oct,161.6,0.2
CUUR0000SA0,1997,M11,1997 Nov,161.5,-0.1
CUUR0000SA0,1997,M12,1997 Dec,161.3,-0.1
CUUR0000SA0,1998,M01,1998 Jan,161.6,0.2
CUUR0000SA0,1998,M02,1998 Feb,161.9,0.2
CUUR0000SA0,1998,M03,1998 Mar,162.2,0.2
CUUR0000SA0,1998,M04,1998 Apr,162.5,0.2
CUUR0000SA0,1998,M05,1998 May,162.8,0.2
CUUR0000SA0,1998,M06,1998 Jun,163.0,0.1
CUUR0000SA0,1998,M07,1998 Jul,163.2,0.1
CUUR0000SA0,1998,M08,1998 Aug,163.4,0.1
CUUR0000SA0,1998,M09,1998 Sep,163.6,0.1
CUUR0000SA0,1998,M10,1998 Oct,164.0,0.2
CUUR0000SA0,1998,M11,1998 Nov,164.0,0.0
CUUR0000SA0,1998,M12,1998 Dec,163.9,-0.1
CUUR0000SA0,1999,M01,1999 Jan,164.3,0.2
CUUR0000SA0,1999,M02,1999 Feb,164.5,0.1
CUUR0000SA0,1999,M03,1999 Mar,165.0,0.3
CUUR0000SA0,1999,M04,1999 Apr,166.2,0.7
CUUR0000SA0,1999,M05,1999 May,166.2,0.0
CUUR0000SA0,1999,M06,1999 Jun,166.2,0.0
CUUR0000SA0,1999,M07,1999 Jul,166.7,0.3
CUUR0000SA0,1999,M08,1999 Aug,167.1,0.2
CUUR0000SA0,1999,M09,1999 Sep,167.9,0.5
CUUR0000SA0,1999,M10,1999 Oct,168.2,0.2
CUUR0000SA0,1999,M11,1999 Nov,168.3,0.1
CUUR0000SA0,1999,M12,1999 Dec,168.3,0.0
CUUR0000SA0,2000,M01,2000 Jan,168.8,0.3
CUUR0000SA0,2000,M02,2000 Feb,169.8,0.6
CUUR0000SA0,2000,M03,2000 Mar,171.2,0.8
CUUR0000SA0,2000,M04,2000 Apr,171.3,0.1
CUUR0000SA0,2000,M05,2000 May,171.5,0.1
CUUR0000SA0,2000,M06,2000 Jun,172.4,0.5
CUUR0000SA0,2000,M07,2000 Jul,172.8,0.2
CUUR0000SA0,2000,M08,2000 Aug,172.8,0.0
CUUR0000SA0,2000,M09,2000 Sep,173.7,0.5
CUUR0000SA0,2000,M10,2000 Oct,174.0,0.2
CUUR0000SA0,2000,M11,2000 Nov,174.1,0.1
CUUR0000SA0,2000,M12,2000 Dec,174.0,-0.1
CUUR0000SA0,2001,M01,2001 Jan,175.1,0.6
CUUR0000SA0,2001,M02,2001 Feb,175.8,0.4
CUUR0000SA0,2001,M03,2001 Mar,176.2,0.2
CUUR0000SA0,2001,M04,2001 Apr,176.9,0.4
CUUR0000SA0,2001,M05,2001 May,177.7,0.5
CUUR0000SA0,2001,M06,2001 Jun,178.0,0.2
CUUR0000SA0,2001,M07,2001 Jul,177.5,-0.3
CUUR0000SA0,2001,M08,2001 Aug,177.5,0.0
CUUR0000SA0,2001,M09,2001 Sep,178.3,0.5
CUUR0000SA0,2001,M10,2001 Oct,177.7,-0.3
CUUR0000SA0,2001,M11,2001 Nov,177.4,-0.2
CUUR0000SA0,2001,M12,2001 Dec,176.7,-0.4
CUUR0000SA0,2002,M01,2002 Jan,177.1,0.2
CUUR0000SA0,2002,M02,2002 Feb,177.8,0.4
CUUR0000SA0,2002,M03,2002 Mar,178.8,0.6
CUUR0000SA0,2002,M04,2002 Apr,179.8,0.6
CUUR0000SA0,2002,M05,2002 May,179.8,0.0
CUUR0000SA0,2002,M06,2002 Jun,179.9,0.1
CUUR0000SA0,2002,M07,2002 Jul,180.1,0.1
CUUR0000SA0,2002,M08,2002 Aug,180.7,0.3
CUUR0000SA0,2002,M09,2002 Sep,181.0,0.2
CUUR0000SA0,2002,M10,2002 Oct,181.3,0.2
CUUR0000SA0,2002,M11,2002 Nov,181.3,0.0
CUUR0000SA0,2002,M12,2002 Dec,180.9,-0.2
CUUR0000SA0,2003,M01,2003 Jan,181.7,0.4
CUUR0000SA0,2003,M02,2003 Feb,183.1,0.8
CUUR0000SA0,2003,M03,2003 Mar,184.2,0.6
CUUR0000SA0,2003,M04,2003 Apr,183.8,-0.2
CUUR0000SA0,2003,M05,2003 May,183.5,-0.2
CUUR0000SA0,2003,M06,2003 Jun,183.7,0.1
CUUR0000SA0,2003,M07,2003 Jul,183.9,0.1
CUUR0000SA0,2003,M08,2003 Aug,184.6,0.4
CUUR0000SA0,2003,M09,2003 Sep,185.2,0.3
CUUR0000SA0,2003,M10,2003 Oct,185.0,-0.1
CUUR0000SA0,2003,M11,2003 Nov,184.5,-0.3
CUUR0000SA0,2003,M12,2003 Dec,184.3,-0.1
CUUR0000SA0,2004,M01,2004 Jan,185.2,0.5
CUUR0000SA0,2004,M02,2004 Feb,186.2,0.5
CUUR0000SA0,2004,M03,2004 Mar,187.4,0.6
CUUR0000SA0,2004,M04,2004 Apr,188.0,0.3
CUUR0000SA0,2004,M05,2004 May,189.1,0.6
CUUR0000SA0,2004,M06,2004 Jun,189.7,0.3
CUUR0000SA0,2004,M07,2004 Jul,189.4,-0.2
CUUR0000SA0,2004,M08,2004 Aug,189.5,0.1
CUUR0000SA0,2004,M09,2004 Sep,189.9,0.2
CUUR0000SA0,2004,M10,2004 Oct,190.9,0.5
CUUR0000SA0,2004,M11,2004 Nov,191.0,0.1
CUUR0000SA0,2004,M12,2004 Dec,190.3,-0.4
CUUR0000SA0,2005,M01,2005 Jan,190.7,0.2
CUUR0000SA0,2005,M02,2005 Feb,191.8,0.6
CUUR0000SA0,2005,M03,2005 Mar,193.3,0.8
CUUR0000SA0,2005,M04,2005 Apr,194.6,0.7
CUUR0000SA0,2005,M05,2005 May,194.4,-0.1
CUUR0000SA0,2005,M06,2005 Jun,194.5,0.1
CUUR0000SA0,2005,M07,2005 Jul,195.4,0.5
CUUR0000SA0,2005,M08,2005 Aug,196.4,0.5
CUUR0000SA0,2005,M09,2005 Sep,198.8,1.2
CUUR0000SA0,2005,M10,2005 Oct,199.2,0.2
CUUR0000SA0,2005,M11,2005 Nov,197.6,-0.8
CUUR0000SA0,2005,M12,2005 Dec,196.8,-0.4
CUUR0000SA0,2006,M01,2006 Jan,198.3,0.8
CUUR0000SA0,2006,M02,2006 Feb,198.7,0.2
CUUR0000SA0,2006,M03,2006 Mar,199.8,0.6
CUUR0000SA0,2006,M04,2006 Apr,201.5,0.9
CUUR0000SA0,2006,M05,2006 May,202.5,0.5
CUUR0000SA0,2006,M06,2006 Jun,202.9,0.2
CUUR0000SA0,2006,M07,2006 Jul,203.5,0.3
CUUR0000SA0,2006,M08,2006 Aug,203.9,0.2
CUUR0000SA0,2006,M09,2006 Sep,202.9,-0.5
CUUR0000SA0,2006,M10,2006 Oct,201.8,-0.5
CUUR0000SA0,2006,M11,2006 Nov,201.5,-0.1
CUUR0000SA0,2006,M12,2006 Dec,201.8,0.1
CUUR0000SA0,2007,M01,2007 Jan,202.416,0.3
CUUR0000SA0,2007,M02,2007 Feb,203.499,0.5
CUUR0000SA0,2007,M03,2007 Mar,205.352,0.9
CUUR0000SA0,2007,M04,2007 Apr,206.686,0.6
CUUR0000SA0,2007,M05,2007 May,207.949,0.6
CUUR0000SA0,2007,M06,2007 Jun,208.352,0.2
CUUR0000SA0,2007,M07,2007 Jul,208.299,0.0
CUUR0000SA0,2007,M08,2007 Aug,207.917,-0.2
CUUR0000SA0,2007,M09,2007 Sep,208.490,0.3
CUUR0000SA0,2007,M10,2007 Oct,208.936,0.2
CUUR0000SA0,2007,M11,2007 Nov,210.177,0.6
CUUR0000SA0,2007,M12,2007 Dec,210.036,-0.1
CUUR0000SA0,2008,M01,2008 Jan,211.080,0.5
CUUR0000SA0,2008,M02,2008 Feb,211.693,0.3
CUUR0000SA0,2008,M03,2008 Mar,213.528,0.9
CUUR0000SA0,2008,M04,2008 Apr,214.823,0.6
CUUR0000SA0,2008,M05,2008 May,216.632,0.8
CUUR0000SA0,2008,M06,2008 Jun,218.815,1.0
CUUR0000SA0,2008,M07,2008 Jul,219.964,0.5
CUUR0000SA0,2008,M08,2008 Aug,219.086,-0.4
CUUR0000SA0,2008,M09,2008 Sep,218.783,-0.1
CUUR0000SA0,2008,M10,2008 Oct,216.573,-1.0
CUUR0000SA0,2008,M11,2008 Nov,212.425,-1.9
CUUR0000SA0,2008,M12,2008 Dec,210.228,-1.0
CUUR0000SA0,2009,M01,2009 Jan,211.143,0.4
CUUR0000SA0,2009,M02,2009 Feb,212.193,0.5
CUUR0000SA0,2009,M03,2009 Mar,212.709,0.2
CUUR0000SA0,2009,M04,2009 Apr,213.240,0.2
CUUR0000SA0,2009,M05,2009 May,213.856,0.3
CUUR0000SA0,2009,M06,2009 Jun,215.693,0.9
CUUR0000SA0,2009,M07,2009 Jul,215.351,-0.2
CUUR0000SA0,2009,M08,2009 Aug,215.834,0.2
CUUR0000SA0,2009,M09,2009 Sep,215.969,0.1
CUUR0000SA0,2009,M10,2009 Oct,216.177,0.1
CUUR0000SA0,2009,M11,2009 Nov,216.330,0.1
CUUR0000SA0,2009,M12,2009 Dec,215.949,-0.2
CUUR0000SA0,2010,M01,2010 Jan,216.687,0.3
CUUR0000SA0,2010,M02,2010 Feb,216.741,0.0
CUUR0000SA0,2010,M03,2010 Mar,217.631,0.4
CUUR0000SA0,2010,M04,2010 Apr,218.009,0.2
CUUR0000SA0,2010,M05,2010 May,218.178,0.1
CUUR0000SA0,2010,M06,2010 Jun,217.965,-0.1
CUUR0000SA0,2010,M07,2010 Jul,218.011,0.0
CUUR0000SA0,2010,M08,2010 Aug,218.312,0.1
CUUR0000SA0,2010,M09,2010 Sep,218.439,0.1
CUUR0000SA0,2010,M10,2010 Oct,218.711,0.1
CUUR0000SA0,2010,M11,2010 Nov,218.803,0.0
CUUR0000SA0,2010,M12,2010 Dec,219.179,0.2
CUUR0000SA0,2011,M01,2011 Jan,220.223,0.5
CUUR0000SA0,2011,M02,2011 Feb,221.309,0.5
CUUR0000SA0,2011,M03,2011 Mar,223.467,1.0
CUUR0000SA0,2011,M04,2011 Apr,224.906,0.6
CUUR0000SA0,2011,M05,2011 May,225.964,0.5
CUUR0000SA0,2011,M06,2011 Jun,225.722,-0.1
CUUR0000SA0,2011,M07,2011 Jul,225.922,0.1
CUUR0000SA0,2011,M08,2011 Aug,226.545,0.3
CUUR0000SA0,2011,M09,2011 Sep,226.889,0.2
CUUR0000SA0,2011,M10,2011 Oct,226.421,-0.2
CUUR0000SA0,2011,M11,2011 Nov,226.230,-0.1
CUUR0000SA0,2011,M12,2011 Dec,225.672,-0.2
CUUR0000SA0,2012,M01,2012 Jan,226.665,0.4
CUUR0000SA0,2012,M02,2012 Feb,227.663,0.4
CUUR0000SA0,2012,M03,2012 Mar,229.392,0.8
CUUR0000SA0,2012,M04,2012 Apr,230.085,0.3
CUUR0000SA0,2012,M05,2012 May,229.815,-0.1
CUUR0000SA0,2012,M06,2012 Jun,229.478,-0.1
CUUR0000SA0,2012,M07,2012 Jul,229.104,-0.2
CUUR0000SA0,2012,M08,2012 Aug,230.379,0.6
CUUR0000SA0,2012,M09,2012 Sep,231.407,0.4
CUUR0000SA0,2012,M10,2012 Oct,231.317,0.0
CUUR0000SA0,2012,M11,2012 Nov,230.221,-0.5
CUUR0000SA0,2012,M12,2012 Dec,229.601,-0.3
CUUR0000SA0,2013,M01,2013 Jan,230.280,0.3
CUUR0000SA0,2013,M02,2013 Feb,232.166,0.8
CUUR0000SA0,2013,M03,2013 Mar,232.773,0.3
CUUR0000SA0,2013,M04,2013 Apr,232.531,-0.1
CUUR0000SA0,2013,M05,2013 May,232.945,0.2
CUUR0000SA0,2013,M06,2013 Jun,233.504,0.2
CUUR0000SA0,2013,M07,2013 Jul,233.596,0.0
CUUR0000SA0,2013,M08,2013 Aug,233.877,0.1
CUUR0000SA0,2013,M09,2013 Sep,234.149,0.1
CUUR0000SA0,2013,M10,2013 Oct,233.546,-0.3
CUUR0000SA0,2013,M11,2013 Nov,233.069,-0.2
CUUR0000SA0,2013,M12,2013 Dec,233.049,0.0
CUUR0000SA0,2014,M01,2014 Jan,233.916,0.4
CUUR0000SA0,2014,M02,2014 Feb,234.781,0.4
CUUR0000SA0,2014,M03,2014 Mar,236.293,0.6
CUUR0000SA0,2014,M04,2014 Apr,237.072,0.3
CUUR0000SA0,2014,M05,2014 May,237.900,0.3
CUUR0000SA0,2014,M06,2014 Jun,238.343,0.2
CUUR0000SA0,2014,M07,2014 Jul,238.250,0.0
CUUR0000SA0,2014,M08,2014 Aug,237.852,-0.2
CUUR0000SA0,2014,M09,2014 Sep,238.031,0.1
CUUR0000SA0,2014,M10,2014 Oct,237.433,-0.3
CUUR0000SA0,2014,M11,2014 Nov,236.151,-0.5
CUUR0000SA0,2014,M12,2014 Dec,234.812,-0.6
CUUR0000SA0,2015,M01,2015 Jan,233.707,-0.5
CUUR0000SA0,2015,M02,2015 Feb,234.722,0.4
CUUR0000SA0,2015,M03,2015 Mar,236.119,0.6
CUUR0000SA0,2015,M04,2015 Apr,236.599,0.2
CUUR0000SA0,2015,M05,2015 May,237.805,0.5
CUUR0000SA0,2015,M06,2015 Jun,238.638,0.4
CUUR0000SA0,2015,M07,2015 Jul,238.654,0.0
CUUR0000SA0,2015,M08,2015 Aug,238.316,-0.1
CUUR0000SA0,2015,M09,2015 Sep,237.945,-0.2
CUUR0000SA0,2015,M10,2015 Oct,237.838,0.0
CUUR0000SA0,2015,M11,2015 Nov,237.336,-0.2
CUUR0000SA0,2015,M12,2015 Dec,236.525,-0.3
CUUR0000SA0,2016,M01,2016 Jan,236.916,0.2
CUUR0000SA0,2016,M02,2016 Feb,237.111,0.1
CUUR0000SA0,2016,M03,2016 Mar,238.132,0.4
CUUR0000SA0,2016,M04,2016 Apr,239.261,0.5
CUUR0000SA0,2016,M05,2016 May,240.229,0.4
CUUR0000SA0,2016,M06,2016 Jun,241.018,0.3
CUUR0000SA0,2016,M07,2016 Jul,240.628,-0.2
CUUR0000SA0,2016,M08,2016 Aug,240.849,0.1
CUUR0000SA0,2016,M09,2016 Sep,241.428,0.2
CUUR0000SA0,2016,M10,2016 Oct,241.729,0.1
CUUR0000SA0,2016,M11,2016 Nov,241.353,-0.2
CUUR0000SA0,2016,M12,2016 Dec,241.432,0.0
CUUR0000SA0,2017,M01,2017 Jan,242.839,0.6
CUUR0000SA0,2017,M02,2017 Feb,243.603,0.3
CUUR0000SA0,2017,M03,2017 Mar,243.801,0.1
CUUR0000SA0,2017,M04,2017 Apr,244.524,0.3
CUUR0000SA0,2017,M05,2017 May,244.733,0.1
CUUR0000SA0,2017,M06,2017 Jun,244.955,0.1
CUUR0000SA0,2017,M07,2017 Jul,244.786,-0.1
CUUR0000SA0,2017,M08,2017 Aug,245.519,0.3
CUUR0000SA0,2017,M09,2017 Sep,246.819,0.5
CUUR0000SA0,2017,M10,2017 Oct,246.663,-0.1
CUUR0000SA0,2017,M11,2017 Nov,246.669,0.0
CUUR0000SA0,2017,M12,2017 Dec,246.524,-0.1
CUUR0000SA0,2018,M01,2018 Jan,247.867,0.5
CUUR0000SA0,2018,M02,2018 Feb,248.991,0.5
CUUR0000SA0,2018,M03,2018 Mar,249.554,0.2
CUUR0000SA0,2018,M04,2018 Apr,250.546,0.4
CUUR0000SA0,2018,M05,2018 May,251.588,0.4
CUUR0000SA0,2018,M06,2018 Jun,251.989,0.2
CUUR0000SA0,2018,M07,2018 Jul,252.006,0.0
CUUR0000SA0,2018,M08,2018 Aug,252.146,0.1
CUUR0000SA0,2018,M09,2018 Sep,252.439,0.1
CUUR0000SA0,2018,M10,2018 Oct,252.885,0.2
CUUR0000SA0,2018,M11,2018 Nov,252.038,-0.3
CUUR0000SA0,2018,M12,2018 Dec,251.233,-0.3
CUUR0000SA0,2019,M01,2019 Jan,251.712,0.2
CUUR0000SA0,2019,M02,2019 Feb,252.776,0.4
CUUR0000SA0,2019,M03,2019 Mar,254.202,0.6
CUUR0000SA0,2019,M04,2019 Apr,255.548,0.5
CUUR0000SA0,2019,M05,2019 May,256.092,0.2
CUUR0000SA0,2019,M06,2019 Jun,256.143,0.0
CUUR0000SA0,2019,M07,2019 Jul,256.571,0.2
CUUR0000SA0,2019,M08,2019 Aug,256.558,0.0
CUUR0000SA0,2019,M09,2019 Sep,256.759,0.1
CUUR0000SA0,2019,M10,2019 Oct,257.346,0.2
CUUR0000SA0,2019,M11,2019 Nov,257.208,-0.1
CUUR0000SA0,2019,M12,2019 Dec,256.974,-0.1
CUUR0000SA0,2020,M01,2020 Jan,257.971,0.4
CUUR0000SA0,2020,M02,2020 Feb,258.678,0.3
CUUR0000SA0,2020,M03,2020 Mar,258.115,-0.2
CUUR0000SA0,2020,M04,2020 Apr,256.389,-0.7
CUUR0000SA0,2020,M05,2020 May,256.394,0.0
CUUR0000SA0,2020,M06,2020 Jun,257.797,0.5
CUUR0000SA0,2020,M07,2020 Jul,259.101,0.5
CUUR0000SA0,2020,M08,2020 Aug,259.918,0.3
CUUR0000SA0,2020,M09,2020 Sep,260.280,0.1
CUUR0000SA0,2020,M10,2020 Oct,260.388,0.0
CUUR0000SA0,2020,M11,2020 Nov,260.229,-0.1
CUUR0000SA0,2020,M12,2020 Dec,260.474,0.1
CUUR0000SA0,2021,M01,2021 Jan,261.582,0.4
CUUR0000SA0,2021,M02,2021 Feb,263.014,0.5
CUUR0000SA0,2021,M03,2021 Mar,264.877,0.7
CUUR0000SA0,2021,M04,2021 Apr,267.054,0.8
CUUR0000SA0,2021,M05,2021 May,269.195,0.8
CUUR0000SA0,2021,M06,2021 Jun,271.696,0.9
CUUR0000SA0,2021,M07,2021 Jul,273.003,0.5
CUUR0000SA0,2021,M08,2021 Aug,273.567,0.2
CUUR0000SA0,2021,M09,2021 Sep,274.310,0.3
CUUR0000SA0,2021,M10,2021 Oct,276.589,0.8
CUUR0000SA0,2021,M11,2021 Nov,277.948,0.5
CUUR0000SA0,2021,M12,2021 Dec,278.802,0.3
CUUR0000SA0,2022,M01,2022 Jan,281.148,0.8
CUUR0000SA0,2022,M02,2022 Feb,283.716,0.9
CUUR0000SA0,2022,M03,2022 Mar,287.504,1.3
CUUR0000SA0,2022,M04,2022 Apr,289.109,0.6
CUUR0000SA0,2022,M05,2022 May,292.296,1.1
CUUR0000SA0,2022,M06,2022 Jun,296.311,1.4
CUUR0000SA0,2022,M07,2022 Jul,296.276,0.0
CUUR0000SA0,2022,M08,2022 Aug,296.171,0.0
CUUR0000SA0,2022,M09,2022 Sep,296.808,0.2
CUUR0000SA0,2022,M10,2022 Oct,298.012,0.4
CUUR0000SA0,2022,M11,2022 Nov,297.711,-0.1
CUUR0000SA0,2022,M12,2022 Dec,296.797,-0.3
CUUR0000SA0,2023,M01,2023 Jan,299.170,0.8
CUUR0000SA0,2023,M02,2023 Feb,300.840,0.6
CUUR0000SA0,2023,M03,2023 Mar,301.836,0.3
CUUR0000SA0,2023,M04,2023 Apr,303.363,0.5
CUUR0000SA0,2023,M05,2023 May,304.127,0.3
CUUR0000SA0,2023,M06,2023 Jun,305.109,0.3
CUUR0000SA0,2023,M07,2023 Jul,305.691,0.2
CUUR0000SA0,2023,M08,2023 Aug,307.026,0.4
CUUR0000SA0,2023,M09,2023 Sep,307.789,0.2
CUUR0000SA0,2023,M10,2023 Oct,307.671,0.0
CUUR0000SA0,2023,M11,2023 Nov,307.051,-0.2
CUUR0000SA0,2023,M12,2023 Dec,306.746,-0.1
CUUR0000SA0,2024,M01,2024 Jan,308.417,0.5
CUUR0000SA0,2024,M02,2024 Feb,310.326,0.6
CUUR0000SA0,2024,M03,2024 Mar,312.332,0.6
