r_id,hour,gen
3,2496,1.0
4,2496,1.0
5,2496,1.0
6,2496,1.0
7,2496,1.0
8,2496,0.0
9,2496,0.0
10,2496,0.0
11,2496,0.0
12,2496,0.0
13,2496,0.0
20,2496,0.0
21,2496,0.0
22,2496,0.0
23,2496,0.0
24,2496,0.0
25,2496,0.0
26,2496,0.0
27,2496,0.0
28,2496,0.0
29,2496,0.0
30,2496,0.0
34,2496,0.0
35,2496,0.0
36,2496,0.0
38,2496,0.0
3,2497,1.0
4,2497,1.0
5,2497,1.0
6,2497,1.0
7,2497,1.0
8,2497,0.0
9,2497,0.0
10,2497,0.0
11,2497,0.0
12,2497,0.0
13,2497,0.0
20,2497,0.0
21,2497,0.0
22,2497,0.0
23,2497,0.0
24,2497,0.0
25,2497,0.0
26,2497,0.0
27,2497,0.0
28,2497,0.0
29,2497,0.0
30,2497,0.0
34,2497,0.0
35,2497,0.0
36,2497,0.0
38,2497,0.0
3,2498,1.0
4,2498,1.0
5,2498,1.0
6,2498,1.0
7,2498,1.0
8,2498,0.0
9,2498,0.0
10,2498,0.0
11,2498,0.0
12,2498,0.0
13,2498,0.0
20,2498,0.0
21,2498,0.0
22,2498,0.0
23,2498,0.0
24,2498,0.0
25,2498,0.0
26,2498,0.0
27,2498,0.0
28,2498,0.0
29,2498,0.0
30,2498,0.0
34,2498,0.0
35,2498,0.0
36,2498,0.0
38,2498,0.0
3,2499,1.0
4,2499,1.0
5,2499,1.0
6,2499,1.0
7,2499,1.0
8,2499,0.0
9,2499,0.0
10,2499,0.0
11,2499,0.0
12,2499,0.0
13,2499,0.0
20,2499,0.0
21,2499,0.0
22,2499,0.0
23,2499,0.0
24,2499,0.0
25,2499,0.0
26,2499,0.0
27,2499,0.0
28,2499,0.0
29,2499,0.0
30,2499,0.0
34,2499,0.0
35,2499,0.0
36,2499,0.0
38,2499,0.0
3,2500,1.0
4,2500,1.0
5,2500,1.0
6,2500,1.0
7,2500,1.0
8,2500,0.0
9,2500,0.0
10,2500,0.0
11,2500,0.0
12,2500,0.0
13,2500,0.0
20,2500,0.0
21,2500,0.0
22,2500,0.0
23,2500,0.0
24,2500,0.0
25,2500,0.0
26,2500,0.0
27,2500,0.0
28,2500,0.0
29,2500,0.0
30,2500,0.0
34,2500,0.0
35,2500,0.0
36,2500,0.0
38,2500,0.0
3,2501,1.0
4,2501,1.0
5,2501,1.0
6,2501,1.0
7,2501,1.0
8,2501,0.0
9,2501,0.0
10,2501,0.0
11,2501,0.0
12,2501,0.0
13,2501,0.0
20,2501,0.0
21,2501,0.0
22,2501,0.0
23,2501,0.0
24,2501,0.0
25,2501,0.0
26,2501,0.0
27,2501,0.0
28,2501,0.0
29,2501,0.0
30,2501,0.0
34,2501,0.0
35,2501,0.0
36,2501,0.0
38,2501,0.0
3,2502,1.0
4,2502,1.0
5,2502,1.0
6,2502,1.0
7,2502,1.0
8,2502,0.0
9,2502,0.0
10,2502,0.0
11,2502,0.0
12,2502,0.0
13,2502,0.0
20,2502,1.0
21,2502,0.0
22,2502,0.0
23,2502,0.0
24,2502,0.0
25,2502,0.0
26,2502,0.0
27,2502,0.0
28,2502,0.0
29,2502,0.0
30,2502,0.0
34,2502,0.0
35,2502,0.0
36,2502,0.0
38,2502,0.0
3,2503,1.0
4,2503,0.0
5,2503,0.0
6,2503,1.0
7,2503,0.0
8,2503,0.0
9,2503,0.0
10,2503,0.0
11,2503,0.0
12,2503,0.0
13,2503,0.0
20,2503,1.0
21,2503,0.0
22,2503,0.0
23,2503,0.0
24,2503,0.0
25,2503,0.0
26,2503,0.0
27,2503,0.0
28,2503,0.0
29,2503,0.0
30,2503,0.0
34,2503,0.0
35,2503,0.0
36,2503,0.0
38,2503,0.0
3,2504,1.0
4,2504,0.0
5,2504,0.0
6,2504,1.0
7,2504,0.0
8,2504,0.0
9,2504,0.0
10,2504,0.0
11,2504,0.0
12,2504,0.0
13,2504,0.0
20,2504,0.0
21,2504,0.0
22,2504,0.0
23,2504,0.0
24,2504,0.0
25,2504,0.0
26,2504,0.0
27,2504,0.0
28,2504,0.0
29,2504,0.0
30,2504,0.0
34,2504,0.0
35,2504,0.0
36,2504,0.0
38,2504,0.0
3,2505,1.0
4,2505,0.0
5,2505,0.0
6,2505,1.0
7,2505,0.0
8,2505,0.0
9,2505,0.0
10,2505,0.0
11,2505,0.0
12,2505,0.0
13,2505,0.0
20,2505,0.0
21,2505,0.0
22,2505,0.0
23,2505,0.0
24,2505,0.0
25,2505,0.0
26,2505,0.0
27,2505,0.0
28,2505,0.0
29,2505,0.0
30,2505,0.0
34,2505,0.0
35,2505,0.0
36,2505,0.0
38,2505,0.0
3,2506,1.0
4,2506,0.0
5,2506,0.0
6,2506,1.0
7,2506,0.0
8,2506,0.0
9,2506,0.0
10,2506,0.0
11,2506,0.0
12,2506,0.0
13,2506,0.0
20,2506,0.0
21,2506,0.0
22,2506,0.0
23,2506,0.0
24,2506,0.0
25,2506,0.0
26,2506,0.0
27,2506,0.0
28,2506,0.0
29,2506,0.0
30,2506,0.0
34,2506,0.0
35,2506,0.0
36,2506,0.0
38,2506,0.0
3,2507,1.0
4,2507,0.0
5,2507,0.0
6,2507,1.0
7,2507,0.0
8,2507,0.0
9,2507,0.0
10,2507,0.0
11,2507,0.0
12,2507,0.0
13,2507,0.0
20,2507,0.0
21,2507,0.0
22,2507,0.0
23,2507,0.0
24,2507,0.0
25,2507,0.0
26,2507,0.0
27,2507,0.0
28,2507,0.0
29,2507,0.0
30,2507,0.0
34,2507,0.0
35,2507,0.0
36,2507,0.0
38,2507,0.0
3,2508,1.0
4,2508,0.0
5,2508,0.0
6,2508,1.0
7,2508,0.0
8,2508,0.0
9,2508,0.0
10,2508,0.0
11,2508,0.0
12,2508,0.0
13,2508,0.0
20,2508,0.0
21,2508,0.0
22,2508,0.0
23,2508,0.0
24,2508,0.0
25,2508,0.0
26,2508,0.0
27,2508,0.0
28,2508,0.0
29,2508,0.0
30,2508,0.0
34,2508,0.0
35,2508,0.0
36,2508,0.0
38,2508,0.0
3,2509,1.0
4,2509,0.0
5,2509,0.0
6,2509,1.0
7,2509,0.0
8,2509,0.0
9,2509,0.0
10,2509,0.0
11,2509,0.0
12,2509,0.0
13,2509,0.0
20,2509,0.0
21,2509,0.0
22,2509,0.0
23,2509,0.0
24,2509,0.0
25,2509,0.0
26,2509,0.0
27,2509,0.0
28,2509,0.0
29,2509,0.0
30,2509,0.0
34,2509,0.0
35,2509,0.0
36,2509,0.0
38,2509,0.0
3,2510,1.0
4,2510,0.0
5,2510,0.0
6,2510,1.0
7,2510,0.0
8,2510,0.0
9,2510,0.0
10,2510,0.0
11,2510,0.0
12,2510,0.0
13,2510,0.0
20,2510,0.0
21,2510,0.0
22,2510,0.0
23,2510,0.0
24,2510,0.0
25,2510,0.0
26,2510,0.0
27,2510,0.0
28,2510,0.0
29,2510,0.0
30,2510,0.0
34,2510,0.0
35,2510,0.0
36,2510,0.0
38,2510,0.0
3,2511,1.0
4,2511,0.0
5,2511,0.0
6,2511,1.0
7,2511,0.0
8,2511,0.0
9,2511,0.0
10,2511,0.0
11,2511,0.0
12,2511,0.0
13,2511,0.0
20,2511,0.0
21,2511,0.0
22,2511,0.0
23,2511,0.0
24,2511,0.0
25,2511,0.0
26,2511,0.0
27,2511,0.0
28,2511,0.0
29,2511,0.0
30,2511,0.0
34,2511,0.0
35,2511,0.0
36,2511,0.0
38,2511,0.0
3,2512,1.0
4,2512,0.0
5,2512,0.0
6,2512,1.0
7,2512,0.0
8,2512,0.0
9,2512,0.0
10,2512,0.0
11,2512,0.0
12,2512,0.0
13,2512,0.0
20,2512,0.0
21,2512,0.0
22,2512,0.0
23,2512,0.0
24,2512,0.0
25,2512,0.0
26,2512,0.0
27,2512,0.0
28,2512,0.0
29,2512,0.0
30,2512,0.0
34,2512,0.0
35,2512,0.0
36,2512,0.0
38,2512,0.0
3,2513,1.0
4,2513,0.0
5,2513,0.0
6,2513,1.0
7,2513,0.0
8,2513,0.0
9,2513,0.0
10,2513,0.0
11,2513,0.0
12,2513,0.0
13,2513,0.0
20,2513,0.0
21,2513,0.0
22,2513,0.0
23,2513,0.0
24,2513,0.0
25,2513,0.0
26,2513,0.0
27,2513,0.0
28,2513,0.0
29,2513,0.0
30,2513,0.0
34,2513,0.0
35,2513,0.0
36,2513,0.0
38,2513,0.0
3,2514,1.0
4,2514,0.0
5,2514,0.0
6,2514,1.0
7,2514,0.0
8,2514,0.0
9,2514,0.0
10,2514,0.0
11,2514,0.0
12,2514,0.0
13,2514,0.0
20,2514,0.0
21,2514,0.0
22,2514,0.0
23,2514,0.0
24,2514,0.0
25,2514,0.0
26,2514,0.0
27,2514,0.0
28,2514,0.0
29,2514,0.0
30,2514,0.0
34,2514,0.0
35,2514,0.0
36,2514,0.0
38,2514,0.0
3,2515,1.0
4,2515,1.0
5,2515,1.0
6,2515,1.0
7,2515,0.0
8,2515,0.0
9,2515,0.0
10,2515,1.0
11,2515,0.0
12,2515,0.0
13,2515,1.0
20,2515,0.0
21,2515,0.0
22,2515,0.0
23,2515,1.0
24,2515,1.0
25,2515,1.0
26,2515,0.0
27,2515,0.0
28,2515,0.0
29,2515,0.0
30,2515,0.0
34,2515,0.0
35,2515,0.0
36,2515,0.0
38,2515,0.0
3,2516,1.0
4,2516,1.0
5,2516,1.0
6,2516,1.0
7,2516,0.0
8,2516,0.0
9,2516,1.0
10,2516,1.0
11,2516,0.0
12,2516,0.0
13,2516,1.0
20,2516,0.0
21,2516,0.0
22,2516,0.0
23,2516,1.0
24,2516,1.0
25,2516,1.0
26,2516,1.0
27,2516,1.0
28,2516,1.0
29,2516,1.0
30,2516,1.0
34,2516,0.0
35,2516,0.0
36,2516,0.0
38,2516,0.0
3,2517,1.0
4,2517,1.0
5,2517,1.0
6,2517,1.0
7,2517,0.0
8,2517,0.0
9,2517,1.0
10,2517,1.0
11,2517,0.0
12,2517,0.0
13,2517,1.0
20,2517,0.0
21,2517,0.0
22,2517,0.0
23,2517,1.0
24,2517,1.0
25,2517,1.0
26,2517,1.0
27,2517,1.0
28,2517,1.0
29,2517,1.0
30,2517,1.0
34,2517,0.0
35,2517,0.0
36,2517,0.0
38,2517,0.0
3,2518,1.0
4,2518,1.0
5,2518,1.0
6,2518,1.0
7,2518,0.0
8,2518,0.0
9,2518,0.0
10,2518,1.0
11,2518,0.0
12,2518,0.0
13,2518,1.0
20,2518,0.0
21,2518,0.0
22,2518,0.0
23,2518,1.0
24,2518,1.0
25,2518,1.0
26,2518,1.0
27,2518,1.0
28,2518,1.0
29,2518,1.0
30,2518,0.0
34,2518,0.0
35,2518,0.0
36,2518,0.0
38,2518,0.0
3,2519,1.0
4,2519,1.0
5,2519,1.0
6,2519,1.0
7,2519,0.0
8,2519,0.0
9,2519,0.0
10,2519,1.0
11,2519,0.0
12,2519,0.0
13,2519,1.0
20,2519,0.0
21,2519,0.0
22,2519,0.0
23,2519,1.0
24,2519,1.0
25,2519,1.0
26,2519,0.0
27,2519,0.0
28,2519,0.0
29,2519,0.0
30,2519,0.0
34,2519,0.0
35,2519,0.0
36,2519,0.0
38,2519,0.0
3,2520,1.0
4,2520,1.0
5,2520,1.0
6,2520,1.0
7,2520,0.0
8,2520,0.0
9,2520,0.0
10,2520,1.0
11,2520,0.0
12,2520,0.0
13,2520,1.0
20,2520,0.0
21,2520,0.0
22,2520,0.0
23,2520,0.0
24,2520,1.0
25,2520,0.0
26,2520,0.0
27,2520,0.0
28,2520,0.0
29,2520,0.0
30,2520,0.0
34,2520,0.0
35,2520,0.0
36,2520,0.0
38,2520,0.0
